lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
13.05,-59.524,342,600,300,1024168,,1000,1,1,UMTS,,,,,,
13.059,-59.531,342,600,301,1013198,,1000,1,1,UMTS,,,,,,
13.059,-59.536,342,600,300,1013198,,1000,1,1,UMTS,,,,,,
13.059,-59.534,342,600,301,1023198,,1000,1,1,UMTS,,,,,,
13.052,-59.52,342,600,301,1014168,,1000,1,1,UMTS,,,,,,
13.055,-59.523,342,600,301,358808,,1000,1,1,UMTS,,,,,,
13.055,-59.525,342,600,301,1024168,,1000,1,1,UMTS,,,,,,
13.058,-59.523,342,600,301,31122,,4800,1,1,GSM,,,,,,
13.058,-59.523,342,600,301,31125,,3135,1,1,GSM,,,,,,
13.05,-59.518,342,600,300,1014168,,1000,1,1,UMTS,,,,,,
13.051,-59.514,342,600,20,1052674,,1000,1,1,LTE,,,20,,,
13.055,-59.512,342,600,56150,64342,,1000,1,1,GSM,,,,,,
13.055,-59.512,342,600,56150,64063,,1000,1,1,GSM,,,,,,
13.055,-59.512,342,600,56150,64062,,1000,1,1,GSM,,,,,,
13.055,-59.512,342,600,56150,64053,,1000,1,1,GSM,,,,,,
13.055,-59.512,342,600,56150,64066,,1000,1,1,GSM,,,,,,
13.055,-59.512,342,600,56150,64651,,1000,1,1,GSM,,,,,,
13.055,-59.512,342,600,56150,64065,,1000,1,1,GSM,,,,,,
13.055,-59.512,342,600,56150,64051,,1000,1,1,GSM,,,,,,
13.055,-59.512,342,600,56150,64652,,1000,1,1,GSM,,,,,,
13.055,-59.508,342,600,300,1014167,,1000,1,1,UMTS,,,,,,
13.056,-59.508,342,600,300,1024167,,1000,1,1,UMTS,,,,,,
13.058,-59.507,342,600,301,1024167,,1000,1,1,UMTS,,,,,,
13.058,-59.509,342,600,301,1014167,,1000,1,1,UMTS,,,,,,
13.059,-59.508,342,600,302,1024167,,1000,1,1,UMTS,,,,,,
13.068,-59.575,342,600,302,1023258,,1000,1,1,UMTS,,,,,,
13.068,-59.574,342,600,302,30343,,1000,1,1,GSM,,,,,,
13.068,-59.574,342,600,19,1029378,,1000,1,1,LTE,,,19,,,
13.068,-59.573,342,600,302,357898,,1000,1,1,UMTS,,,,,,
13.068,-59.573,342,600,302,1013258,,1000,1,1,UMTS,,,,,,
13.069,-59.577,342,600,301,357899,,1000,1,1,UMTS,,,,,,
13.069,-59.577,342,600,300,357899,,1000,1,1,UMTS,,,,,,
13.069,-59.577,342,600,301,1023259,,1000,1,1,UMTS,,,,,,
13.069,-59.577,342,600,302,1013259,,1000,1,1,UMTS,,,,,,
13.069,-59.575,342,600,302,357899,,1000,1,1,UMTS,,,,,,
13.069,-59.575,342,600,302,1023259,,1000,1,1,UMTS,,,,,,
13.069,-59.575,342,600,301,1023257,,1000,1,1,UMTS,,,,,,
13.069,-59.575,342,600,11265,1023257,,1000,1,1,UMTS,,,,,,
13.069,-59.575,342,600,11777,1013259,,1000,1,1,UMTS,,,,,,
13.069,-59.574,342,600,302,357897,,1000,1,1,UMTS,,,,,,
13.069,-59.574,342,600,11521,1023257,,1000,1,1,UMTS,,,,,,
13.069,-59.574,342,600,11521,1013257,,1000,1,1,UMTS,,,,,,
13.069,-59.574,342,600,302,1013257,,1000,1,1,UMTS,,,,,,
13.069,-59.573,342,600,300,1023258,,1000,1,1,UMTS,,,,,,
13.069,-59.573,342,600,301,357897,,1000,1,1,UMTS,,,,,,
13.069,-59.573,342,600,11521,1023258,,1000,1,1,UMTS,,,,,,
13.069,-59.573,342,600,11777,1013257,,1000,1,1,UMTS,,,,,,
13.069,-59.571,342,600,300,357898,,1000,1,1,UMTS,,,,,,
13.069,-59.571,342,600,300,1013258,,1000,1,1,UMTS,,,,,,
13.069,-59.571,342,600,301,357898,,1000,1,1,UMTS,,,,,,
13.069,-59.571,342,600,11265,1023258,,1000,1,1,UMTS,,,,,,
13.069,-59.571,342,600,11521,1013258,,1000,1,1,UMTS,,,,,,
13.069,-59.576,342,600,301,1013259,,1000,1,1,UMTS,,,,,,
13.069,-59.573,342,600,301,1013257,,1000,1,1,UMTS,,,,,,
13.069,-59.577,342,600,300,1013259,,1000,1,1,UMTS,,,,,,
13.07,-59.571,342,600,301,1023258,,1000,1,1,UMTS,,,,,,
13.07,-59.577,342,600,19,1029379,,1000,1,1,LTE,,,19,,,
13.07,-59.575,342,600,300,358009,,1253,1,1,UMTS,,,,,,
13.066,-59.56,338,5,1802,4609795,,1000,1,1,LTE,,,1802,,,
